trip,Year,month,gear,light,fleet,bait,hook,hooks,sets,SWO,BUM,lat5,lon5,lat,lon,hbf,habSWO,habBUM,season,area
216.1990.8.2.15.-30,1990,8,216,0,2,0,0,9.62,4,7,13,15,-30,19.5,-33,10,2.0527e-08,3.805e-08,3,N
216.1990.9.2.35.-60,1990,9,216,0,2,0,0,9.24,4,9,11,35,-60,37,-61.5,10,2.5302e-08,3.76565e-08,3,N
216.1991.1.2.30.-50,1991,1,216,0,2,0,0,14.4,4,15,11,30,-50,34,-52,10,1.9737e-08,3.27755e-08,1,N
216.1991.1.2.5.-35,1991,1,216,0,2,0,0,2.35,1,0,0,5,-35,8.5,-39.5,10,2.1346e-08,8.5281e-09,1,N
216.1991.10.2.-10.0,1991,10,216,0,2,0,0,24.66,10,7,1,-10,0,-13,2.5,10,1.40015e-08,7.5005e-10,4,S
216.1991.10.2.-25.10,1991,10,216,0,2,0,0,10.5,5,9,0,-25,10,-27.5,11.5,10,3.1299e-08,1.1787e-09,4,S
216.1991.10.2.-5.0,1991,10,216,0,2,0,0,5.4,2,2,0,-5,0,-6,2.5,10,2.07935e-08,3.42445e-09,4,S
216.1991.10.2.0.-5,1991,10,216,0,2,0,0,31.5,15,16,6,0,-5,2.5,-8.5,10,2.2003e-08,7.1341e-09,4,N
216.1991.11.2.-15.5.4,1991,11,216,0,2,0,0,59.48,20,44,1,-15,5,-18.5,8.5,10,2.2622e-08,7.1572e-10,4,S
216.1991.11.2.-15.5.8,1991,11,216,0,2,0,0,60.86,20,24,1,-15,5,-17.5,9.5,10,1.433e-08,6.8528e-11,4,S
216.1991.11.2.-35.15,1991,11,216,0,2,0,0,2.7,1,1,2,-35,15,-35.5,16.5,10,2.708e-08,1.718e-09,4,S
216.1991.11.2.-5.5,1991,11,216,0,2,0,0,14.88,6,7,1,-5,5,-8.5,8,10,1.6275e-08,5.98345e-10,4,S
216.1991.11.2.45.-30,1991,11,216,0,2,0,0,3,1,6,0,45,-30,49.5,-34.5,10,3.579e-08,2.5254e-11,4,N
216.1991.12.2.-5.-10,1991,12,216,0,2,0,0,42.94,16,22,14,-5,-10,-7,-11.5,10,2.242e-08,8.9554e-09,4,S
216.1991.12.2.10.-80,1991,12,216,0,2,0,0,19.4,12,14,36,10,-80,11.5,-81.5,10,2.2736e-08,5.7144e-08,4,N
216.1991.12.2.15.-20,1991,12,216,0,2,0,0,2.62,1,0,2,15,-20,16.5,-22.5,10,1.4656e-08,4.6115e-09,4,N
216.1991.2.2.0.-10,1991,2,216,0,2,0,0,18.7,5,12,4,0,-10,-2.5,-12.5,10,2.4315e-08,1.4581e-08,1,S
216.1991.2.2.30.-55,1991,2,216,0,2,0,0,7.2,2,3,7,30,-55,31.5,-57,10,1.97925e-08,2.6868e-08,1,N
216.1991.2.2.30.-60,1991,2,216,0,2,0,0,1.91,1,0,2,30,-60,30.5,-64.5,10,1.9441e-08,2.5148e-08,1,N
216.1991.3.2.-30.-40,1991,3,216,0,2,0,0,2.36,1,3,1,-30,-40,-30.5,-40.5,10,2.617e-08,2.1751e-08,1,S
216.1991.3.2.10.-30,1991,3,216,0,2,0,0,23.4,12,6,5,10,-30,12,-32,10,1.71495e-08,5.5218e-09,1,N
216.1991.4.2.-20.0,1991,4,216,0,2,0,0,10.41,3,7,6,-20,0,-22.5,2.5,10,3.0563e-08,1.326e-08,2,S
216.1991.4.2.-5.5,1991,4,216,0,2,0,0,4.06,2,1,0,-5,5,-8,8.5,10,1.76525e-08,1.7515e-09,2,S
216.1991.4.2.35.-15,1991,4,216,0,2,0,0,6,2,3,0,35,-15,37,-18,10,1.6541e-08,1.24482e-09,2,N
216.1991.5.2.-5.-15,1991,5,216,0,2,0,0,20,8,12,6,-5,-15,-7,-17.5,10,2.30635e-08,1.75685e-08,2,S
216.1991.6.2.-5.-15,1991,6,216,0,2,0,0,45,21,32,23,-5,-15,-7.5,-17.5,10,2.5509e-08,2.0924e-08,2,S
216.1991.6.2.0.-20,1991,6,216,0,2,0,0,43.5,22,35,12,0,-20,-0.5,-23.5,10,2.5684e-08,1.24425e-08,2,S
216.1991.7.2.-25.5,1991,7,216,0,2,0,0,25.9,14,19,2,-25,5,-27.5,6.5,10,2.99885e-08,2.604e-09,3,S
216.1991.8.2.-20.5,1991,8,216,0,2,0,0,29.28,16,25,0,-20,5,-23,8,10,3.0993e-08,1.62425e-09,3,S
216.1991.8.2.-35.15,1991,8,216,0,2,0,0,42.54,13,40,0,-35,15,-36.5,17.5,10,2.7701e-08,1.1642e-09,3,S
216.1991.8.2.10.-75,1991,8,216,0,2,0,0,15.75,7,10,19,10,-75,11.5,-77.5,10,2.201e-08,3.7843e-08,3,N
216.1991.9.2.10.-50,1991,9,216,0,2,0,0,8.75,5,4,10,10,-50,13.5,-51.5,10,2.2943e-08,5.0927e-08,3,N
216.1991.9.2.35.-40,1991,9,216,0,2,0,0,2,1,2,1,35,-40,36.5,-44.5,10,2.2368e-08,2.1441e-08,3,N
216.1992.1.2.10.-20,1992,1,216,0,2,0,0,29.26,15,12,2,10,-20,12.5,-21.5,10,1.6192e-08,4.9409e-09,1,N
216.1992.1.2.15.-15,1992,1,216,0,2,0,0,16.45,8,7,1,15,-15,17.5,-18.5,10,1.27225e-08,5.03005e-10,1,N
216.1992.10.2.-10.5.0,1992,10,216,0,2,0,0,62.18,20,10,0,-10,5,-14.5,5.5,10,1.2072e-08,1.156e-10,4,S
216.1992.10.2.-10.5.15,1992,10,216,0,2,0,0,62.7,20,24,0,-10,5,-11.5,6.5,10,1.1971e-08,3.187e-10,4,S
216.1992.10.2.-10.5.22,1992,10,216,0,2,0,0,59.21,19,17,1,-10,5,-10.5,9.5,10,1.237e-08,3.7469e-10,4,S
216.1992.11.2.35.-35,1992,11,216,0,2,0,0,10.5,3,0,3,35,-35,36.5,-36.5,10,2.0604e-08,7.93e-09,4,N
216.1992.12.2.-5.-5,1992,12,216,0,2,0,0,126.45,52,69,17,-5,-5,-7.5,-7.5,10,2.214e-08,5.2645e-09,4,S
216.1992.2.2.-20.5,1992,2,216,0,2,0,0,2.14,1,6,1,-20,5,-24.5,9.5,10,3.5293e-08,6.9934e-09,1,S
216.1992.2.2.10.-75,1992,2,216,0,2,0,0,1.7,1,0,0,10,-75,12.5,-79.5,10,2.237e-08,6.0859e-08,1,N
216.1992.2.2.30.-55,1992,2,216,0,2,0,0,3.24,2,1,1,30,-55,31.5,-57.5,10,1.982e-08,3.46415e-08,1,N
216.1992.6.2.-20.0,1992,6,216,0,2,0,0,63,18,65,21,-20,0,-22.5,1.5,10,3.10245e-08,1.12905e-08,2,S
216.1992.6.2.10.-70,1992,6,216,0,2,0,0,5.1,3,3,8,10,-70,14.5,-72.5,10,2.4376e-08,1.1404e-07,2,N
216.1992.7.2.-5.-10,1992,7,216,0,2,0,0,19,11,10,7,-5,-10,-6.5,-12.5,10,2.1898e-08,6.0223e-09,3,S
216.1992.7.2.35.-15,1992,7,216,0,2,0,0,34.61,12,12,2,35,-15,37.5,-17.5,10,1.6968e-08,2.7346e-09,3,N
216.1992.8.2.10.-25,1992,8,216,0,2,0,0,123.02,54,51,20,10,-25,12,-27.5,10,1.7174e-08,5.61185e-09,3,N
216.1992.9.2.40.-45,1992,9,216,0,2,0,0,3.6,1,3,0,40,-45,40.5,-47.5,10,3.6414e-08,9.8887e-09,3,N
216.1993.1.2.0.0,1993,1,216,0,2,0,0,8.41,4,5,2,0,0,-3,-2,10,2.63795e-08,9.58345e-09,1,S
216.1993.1.2.40.-40,1993,1,216,0,2,0,0,21,7,13,3,40,-40,42.5,-43.5,10,2.3162e-08,3.6003e-09,1,N
216.1993.10.2.-10.5.3,1993,10,216,0,2,0,0,62.91,20,14,0,-10,5,-13.5,8,10,1.21585e-08,3.8004e-10,4,S
216.1993.10.2.-15.5.23,1993,10,216,0,2,0,0,56.57,19,19,1,-15,5,-15.5,9.5,10,1.2162e-08,3.0517e-10,4,S
216.1993.10.2.0.-10,1993,10,216,0,2,0,0,7.2,4,3,1,0,-10,-2,-12.5,10,2.40345e-08,7.3129e-09,4,S
216.1993.10.2.15.-15.3,1993,10,216,0,2,0,0,41.36,20,16,2,15,-15,17.5,-19.5,10,1.322e-08,1.1834e-09,4,N
216.1993.10.2.15.-20,1993,10,216,0,2,0,0,19.41,9,5,2,15,-20,17.5,-20.5,10,1.4796e-08,3.7889e-09,4,N
216.1993.10.2.30.-25,1993,10,216,0,2,0,0,3.5,1,3,0,30,-25,33.5,-28.5,10,1.8339e-08,1.0368e-08,4,N
216.1993.10.2.40.-50,1993,10,216,0,2,0,0,262.52,82,157,27,40,-50,42.5,-52.5,10,2.8181e-08,5.52345e-10,4,N
216.1993.11.2.-15.5.1,1993,11,216,0,2,0,0,64.81,20,49,5,-15,5,-19.5,6.5,10,2.8921e-08,2.8982e-09,4,S
216.1993.11.2.-15.5.5,1993,11,216,0,2,0,0,66.17,20,42,0,-15,5,-19.5,9.5,10,2.2316e-08,6.265e-10,4,S
216.1993.11.2.-5.-15,1993,11,216,0,2,0,0,60,24,35,20,-5,-15,-6.5,-18.5,10,2.4713e-08,1.2925e-08,4,S
216.1993.11.2.15.-15.2,1993,11,216,0,2,0,0,43.23,20,16,1,15,-15,16.5,-18.5,10,1.3014e-08,9.5301e-10,4,N
216.1993.11.2.20.-15,1993,11,216,0,2,0,0,10.98,6,5,0,20,-15,21.5,-18.5,10,2.00725e-08,3.3783e-09,4,N
216.1993.12.2.-5.-10,1993,12,216,0,2,0,0,23.8,10,13,3,-5,-10,-6.5,-11.5,10,2.2821e-08,8.4207e-09,4,S
216.1993.12.2.-5.10,1993,12,216,0,2,0,0,2.5,1,0,0,-5,10,-8.5,10.5,10,1.5374e-08,1.325e-09,4,S
216.1993.12.2.-5.5,1993,12,216,0,2,0,0,28.9,13,9,2,-5,5,-7.5,8.5,10,1.6745e-08,2.0747e-09,4,S
216.1993.6.2.-15.5,1993,6,216,0,2,0,0,86.8,28,48,1,-15,5,-17.5,7,10,1.5603e-08,5.8285e-10,2,S
216.1993.6.2.-25.0,1993,6,216,0,2,0,0,14.4,7,7,5,-25,0,-26.5,-2.5,10,2.8034e-08,1.0263e-08,2,S
216.1993.6.2.30.-25,1993,6,216,0,2,0,0,198.11,58,101,32,30,-25,32.5,-27.5,10,1.8475e-08,8.9437e-09,2,N
216.1993.7.2.-25.0,1993,7,216,0,2,0,0,29.61,11,20,1,-25,0,-28.5,2.5,10,2.7961e-08,2.9962e-09,3,S
216.1993.7.2.-35.15,1993,7,216,0,2,0,0,58.74,25,41,2,-35,15,-38.5,17.5,10,2.636e-08,1.1497e-09,3,S
216.1993.7.2.0.0.3,1993,7,216,0,2,0,0,39.59,20,18,6,0,0,-1.5,0.5,10,2.4593e-08,5.87125e-09,3,S
216.1993.7.2.0.5,1993,7,216,0,2,0,0,2,1,3,0,0,5,-0.5,6.5,10,2.4296e-08,8.1119e-09,3,S
216.1993.8.2.-15.5,1993,8,216,0,2,0,0,38.36,12,24,1,-15,5,-18.5,8,10,1.98915e-08,4.515e-10,3,S
216.1993.8.2.-20.5,1993,8,216,0,2,0,0,23.28,8,12,3,-20,5,-23,7.5,10,3.16185e-08,1.6252e-09,3,S
216.1993.8.2.-5.0,1993,8,216,0,2,0,0,39.5,19,17,1,-5,0,-7.5,3.5,10,1.7653e-08,9.6374e-10,3,S
216.1993.8.2.10.-70,1993,8,216,0,2,0,0,46.4,29,36,70,10,-70,13.5,-72.5,10,2.3125e-08,6.9334e-08,3,N
216.1994.1.2.-5.0.7,1994,1,216,0,2,0,0,28.51,14,14,3,-5,0,-5.5,0,10,2.23045e-08,6.5926e-09,1,S
216.1994.10.2.-15.10.1,1994,10,216,0,2,0,0,45.66,20,19,0,-15,10,-19.5,10.5,10,1.6614e-08,1.0756e-10,4,S
216.1994.10.2.-15.10.10,1994,10,216,0,2,0,0,44.32,20,12,0,-15,10,-16.5,10.5,10,8.5397e-09,3.9011e-11,4,S
216.1994.10.2.-25.5,1994,10,216,0,2,0,0,28.25,13,19,0,-25,5,-27.5,6.5,10,3.076e-08,1.887e-09,4,S
216.1994.10.2.-30.10,1994,10,216,0,2,0,0,21.19,9,12,2,-30,10,-32.5,12.5,10,2.8382e-08,1.4712e-09,4,S
216.1994.10.2.15.-15.9,1994,10,216,0,2,0,0,38.06,20,11,2,15,-15,19.5,-18.5,10,1.6267e-08,1.0973e-09,4,N
216.1994.10.2.20.-15,1994,10,216,0,2,0,0,4.2,2,1,0,20,-15,22.5,-18.5,10,2.0045e-08,6.92805e-09,4,N
216.1994.10.2.40.-45,1994,10,216,0,2,0,0,6.64,2,0,0,40,-45,44.5,-48,10,1.103145e-10,9.8152e-12,4,N
216.1994.10.2.40.-50.5,1994,10,216,0,2,0,0,59.07,20,19,0,40,-50,44.5,-52.5,10,0,0,4,N
216.1994.11.2.-30.15,1994,11,216,0,2,0,0,173.25,68,109,3,-30,15,-32.5,16.5,10,3.1781e-08,9.0339e-10,4,S
216.1994.11.2.-5.-20,1994,11,216,0,2,0,0,82.52,40,48,46,-5,-20,-7.5,-22.5,10,2.40735e-08,1.9127e-08,4,S
216.1994.11.2.-5.-25,1994,11,216,0,2,0,0,36.9,21,32,28,-5,-25,-8.5,-27.5,10,2.5683e-08,3.4395e-08,4,S
216.1994.11.2.0.0,1994,11,216,0,2,0,0,56.6,25,47,16,0,0,-1.5,0.5,10,3.1667e-08,1.0348e-08,4,S
216.1994.11.2.15.-15.3,1994,11,216,0,2,0,0,38.79,20,13,0,15,-15,17.5,-17.5,10,1.0649e-08,1.0806e-09,4,N
216.1994.11.2.15.-20,1994,11,216,0,2,0,0,3.85,2,4,2,15,-20,19,-22.5,10,2.0151e-08,1.07993e-08,4,N
216.1994.2.2.-10.0.0,1994,2,216,0,2,0,0,39.59,20,24,8,-10,0,-14.5,-2.5,10,2.0257e-08,5.812e-09,1,S
216.1994.2.2.-10.0.4,1994,2,216,0,2,0,0,40.7,20,5,2,-10,0,-12.5,0,10,1.64655e-08,2.89815e-09,1,S
216.1994.2.2.5.-35,1994,2,216,0,2,0,0,11.55,7,5,3,5,-35,7.5,-37.5,10,2.2095e-08,1.6832e-08,1,N
216.1994.3.2.5.-25,1994,3,216,0,2,0,0,23.61,12,12,4,5,-25,8,-27,10,2.10285e-08,8.085e-09,1,N
216.1994.4.2.-5.-15,1994,4,216,0,2,0,0,12.6,7,2,3,-5,-15,-7.5,-17.5,10,2.2375e-08,1.3473e-08,2,S
216.1994.5.2.-25.5,1994,5,216,0,2,0,0,103.54,38,75,26,-25,5,-27.5,7.5,10,2.907e-08,8.22845e-09,2,S
216.1994.5.2.-5.0,1994,5,216,0,2,0,0,31.4,16,24,0,-5,0,-8.5,-2,10,1.8133e-08,3.6968e-09,2,S
216.1994.5.2.5.-35,1994,5,216,0,2,0,0,8.25,5,7,6,5,-35,6.5,-39.5,10,2.513e-08,1.3075e-08,2,N
216.1994.6.2.-30.0,1994,6,216,0,2,0,0,6.46,2,5,0,-30,0,-33,3,10,2.7109e-08,2.3164e-09,2,S
216.1994.6.2.-5.-5,1994,6,216,0,2,0,0,44.7,20,21,12,-5,-5,-7.5,-8,10,2.0607e-08,7.87225e-09,2,S
216.1994.6.2.0.-25,1994,6,216,0,2,0,0,22,11,19,5,0,-25,2.5,-26.5,10,2.6011e-08,1.8839e-08,2,N
216.1994.6.2.5.-30,1994,6,216,0,2,0,0,1.95,1,2,0,5,-30,6.5,-34.5,10,2.6399e-08,9.8407e-09,2,N
216.1994.7.2.-5.10,1994,7,216,0,2,0,0,3.9,2,2,0,-5,10,-8.5,11,10,1.38935e-08,3.188e-10,3,S
216.1994.7.2.10.-70,1994,7,216,0,2,0,0,1.65,1,1,2,10,-70,12.5,-70.5,10,2.7823e-08,3.8264e-08,3,N
216.1994.8.2.-10.5,1994,8,216,0,2,0,0,77.31,34,22,2,-10,5,-11.5,8.5,10,1.33555e-08,2.9992e-10,3,S
216.1994.8.2.-20.0,1994,8,216,0,2,0,0,4.6,2,1,0,-20,0,-23.5,-1,10,2.9556e-08,8.1243e-09,3,S
216.1994.8.2.-25.5,1994,8,216,0,2,0,0,109.85,46,64,9,-25,5,-27.5,7.5,10,2.97245e-08,2.1305e-09,3,S
216.1994.8.2.-30.10,1994,8,216,0,2,0,0,24.98,11,24,1,-30,10,-33.5,11.5,10,2.7361e-08,1.7838e-09,3,S
216.1994.9.2.-15.10.1,1994,9,216,0,2,0,0,44.35,20,18,0,-15,10,-19.5,10.5,10,2.0252e-08,2.5642e-10,3,S
216.1994.9.2.-15.10.13,1994,9,216,0,2,0,0,41.26,20,8,0,-15,10,-17.5,10.5,10,9.5936e-09,3.8082e-11,3,S
216.1994.9.2.35.-65,1994,9,216,0,2,0,0,2.5,1,2,1,35,-65,36.5,-69.5,10,2.1438e-08,2.9158e-08,3,N
216.1995.1.2.45.-20,1995,1,216,0,2,0,0,12.48,4,5,0,45,-20,48,-22,10,2.20605e-08,8.37645e-11,1,N
216.1995.10.2.-15.5.14,1995,10,216,0,2,0,0,51.92,20,23,0,-15,5,-17.5,7.5,10,1.67105e-08,1.1963e-10,4,S
216.1995.10.2.-15.5.4,1995,10,216,0,2,0,0,50.15,20,27,0,-15,5,-19.5,9.5,10,1.9761e-08,2.1739e-10,4,S
216.1995.10.2.-5.-20,1995,10,216,0,2,0,0,46,23,33,14,-5,-20,-8.5,-22.5,10,2.6734e-08,2.1428e-08,4,S
216.1995.10.2.35.-30,1995,10,216,0,2,0,0,35.1,10,25,4,35,-30,37.5,-33.5,10,1.94835e-08,7.2351e-09,4,N
216.1995.11.2.-15.10.7,1995,11,216,0,2,0,0,45.98,20,12,0,-15,10,-17.5,10.5,10,1.0227e-08,6.6968e-11,4,S
216.1995.11.2.-15.5.2,1995,11,216,0,2,0,0,50.71,20,37,1,-15,5,-19.5,8.5,10,2.5569e-08,8.43015e-10,4,S
216.1995.3.2.30.-20,1995,3,216,0,2,0,0,10.9,5,5,1,30,-20,31.5,-23.5,10,1.6837e-08,4.6592e-09,1,N
216.1995.4.2.-15.0,1995,4,216,0,2,0,0,66.52,29,36,10,-15,0,-17.5,1.5,10,2.7569e-08,8.5121e-09,2,S
216.1995.4.2.-20.0,1995,4,216,0,2,0,0,109.14,35,81,39,-20,0,-22.5,1.5,10,3.0346e-08,1.412e-08,2,S
216.1995.4.2.-25.10,1995,4,216,0,2,0,0,236.64,79,259,19,-25,10,-27.5,12.5,10,3.9696e-08,1.5411e-09,2,S
216.1995.5.2.-25.15,1995,5,216,0,2,0,0,12,4,0,1,-25,15,-28.5,15.5,10,0,4.4329e-11,2,S
216.1995.6.2.-20.0,1995,6,216,0,2,0,0,81.08,29,57,13,-20,0,-22.5,3.5,10,3.1899e-08,9.022e-09,2,S
216.1995.6.2.-25.-10,1995,6,216,0,2,0,0,4.3,2,2,2,-25,-10,-26.5,-11.5,10,2.77975e-08,1.45975e-08,2,S
216.1995.6.2.10.-25,1995,6,216,0,2,0,0,28.6,11,10,1,10,-25,12.5,-27.5,10,1.7242e-08,7.2563e-09,2,N
216.1995.7.2.-20.0,1995,7,216,0,2,0,0,54.49,21,45,8,-20,0,-22.5,-2.5,10,2.9911e-08,1.2933e-08,3,S
216.1995.7.2.-30.10.4,1995,7,216,0,2,0,0,60.85,20,53,3,-30,10,-30.5,12.5,10,3.0401e-08,1.2723e-09,3,S
216.1995.7.2.0.-15,1995,7,216,0,2,0,0,14.4,8,6,1,0,-15,-1.5,-18.5,10,2.54185e-08,8.46565e-09,3,S
216.1995.8.2.15.-25,1995,8,216,0,2,0,0,34.2,20,13,11,15,-25,18,-27.5,10,1.8137e-08,1.557e-08,3,N
216.1995.9.2.-10.0.9,1995,9,216,0,2,0,0,48.22,20,14,0,-10,0,-10.5,2.5,10,1.66625e-08,7.36945e-10,3,S
216.1995.9.2.-10.5.4,1995,9,216,0,2,0,0,51.87,20,22,1,-10,5,-10.5,6.5,10,1.5606e-08,4.19495e-10,3,S
216.1995.9.2.-15.0.4,1995,9,216,0,2,0,0,50.34,20,27,0,-15,0,-16.5,3.5,10,2.1433e-08,5.6744e-10,3,S
216.1995.9.2.-15.10.14,1995,9,216,0,2,0,0,22.9,9,3,0,-15,10,-15.5,10.5,10,1.1137e-08,4.3349e-11,3,S
216.1995.9.2.-15.10.5,1995,9,216,0,2,0,0,46.9,20,7,0,-15,10,-18.5,10.5,10,1.3628e-08,5.2078e-11,3,S
216.1995.9.2.-15.5,1995,9,216,0,2,0,0,187.05,72,100,1,-15,5,-17.5,7.5,10,1.9293e-08,2.5857e-10,3,S
216.1995.9.2.-20.5,1995,9,216,0,2,0,0,108.62,43,78,6,-20,5,-22.5,7.5,10,3.0249e-08,1.4558e-09,3,S
216.1995.9.2.5.-25,1995,9,216,0,2,0,0,2.3,1,0,1,5,-25,5.5,-27.5,10,2.5875e-08,1.7865e-08,3,N
216.1996.1.2.-10.-5,1996,1,216,0,2,0,0,172.72,68,87,28,-10,-5,-12.5,-7.5,10,2.1162e-08,6.9681e-09,1,S
216.1996.1.2.-5.-5.18,1996,1,216,0,2,0,0,51,20,28,6,-5,-5,-7.5,-9.5,10,2.2526e-08,8.2333e-09,1,S
216.1996.1.2.-5.-5.19,1996,1,216,0,2,0,0,51,20,23,14,-5,-5,-7.5,-8.5,10,2.1302e-08,7.1911e-09,1,S
216.1996.1.2.-5.0.15,1996,1,216,0,2,0,0,51.2,20,27,8,-5,0,-6.5,-0.5,10,2.1358e-08,6.7612e-09,1,S
216.1996.1.2.0.-10.2,1996,1,216,0,2,0,0,51.2,20,19,6,0,-10,-3.5,-11.5,10,2.427e-08,1.0146e-08,1,S
216.1996.1.2.10.-25.5,1996,1,216,0,2,0,0,50.8,20,17,7,10,-25,13.5,-28.5,10,1.6182e-08,7.5537e-09,1,N
216.1996.1.2.5.-20.6,1996,1,216,0,2,0,0,51,20,23,12,5,-20,6.5,-22.5,10,1.9708e-08,1.1965e-08,1,N
216.1996.10.2.-5.0,1996,10,216,0,2,0,0,16.44,6,10,1,-5,0,-7.5,1.5,10,1.9601e-08,3.4852e-09,4,S
216.1996.10.2.45.-40,1996,10,216,0,2,0,0,70.28,28,57,0,45,-40,48.5,-42.5,10,3.6517e-08,7.6685e-11,4,N
216.1996.12.2.-15.0,1996,12,216,0,2,0,0,44.54,17,27,11,-15,0,-16.5,-2.5,10,2.6457e-08,7.908e-09,4,S
216.1996.12.2.-15.5.13,1996,12,216,0,2,0,0,51,20,3,0,-15,5,-15.5,8.5,10,1.2904e-08,2.9318e-10,4,S
216.1996.12.2.-15.5.3,1996,12,216,0,2,0,0,51,20,22,7,-15,5,-18.5,6.5,10,2.3222e-08,2.8656e-09,4,S
216.1996.12.2.0.-25,1996,12,216,0,2,0,0,44.82,18,30,25,0,-25,2.5,-27.5,10,2.5276e-08,1.96365e-08,4,N
216.1996.12.2.0.0,1996,12,216,0,2,0,0,29.88,12,19,7,0,0,1.5,3,10,2.5778e-08,1.0864e-08,4,N
216.1996.12.2.35.-35.4,1996,12,216,0,2,0,0,51,20,27,13,35,-35,37.5,-36.5,10,2.0599e-08,9.3808e-09,4,N
216.1996.12.2.40.-50.3,1996,12,216,0,2,0,0,51,20,29,1,40,-50,41.5,-51.5,10,3.0867e-08,1.1023e-10,4,N
216.1996.12.2.40.-65,1996,12,216,0,2,0,0,21.96,9,1,0,40,-65,41.5,-68.5,10,0,1.9066e-12,4,N
216.1996.12.2.5.-20.1,1996,12,216,0,2,0,0,51,20,19,14,5,-20,5.5,-22.5,10,2.0899e-08,1.178e-08,4,N
216.1996.2.2.-5.-5.12,1996,2,216,0,2,0,0,51,20,21,5,-5,-5,-7.5,-5.5,10,2.0802e-08,5.8048e-09,1,S
216.1996.2.2.-5.-5.14,1996,2,216,0,2,0,0,51,20,17,6,-5,-5,-6.5,-7.5,10,2.0849e-08,5.5868e-09,1,S
216.1996.2.2.25.-35,1996,2,216,0,2,0,0,41.28,16,21,18,25,-35,28.5,-37.5,10,1.8475e-08,2.15305e-08,1,N
216.1996.2.2.5.-30.4,1996,2,216,0,2,0,0,51,20,21,8,5,-30,7.5,-33.5,10,2.1716e-08,1.1639e-08,1,N
216.1996.3.2.-5.-15.9,1996,3,216,0,2,0,0,51,20,26,13,-5,-15,-5.5,-18.5,10,2.4186e-08,1.1049e-08,1,S
216.1996.3.2.-5.-5.5,1996,3,216,0,2,0,0,51.2,20,24,9,-5,-5,-6.5,-8.5,10,2.1034e-08,5.3556e-09,1,S
216.1996.3.2.20.-15,1996,3,216,0,2,0,0,2.63,1,1,0,20,-15,24.5,-19.5,10,1.9016e-08,1.2409e-08,1,N
216.1996.3.2.30.-15,1996,3,216,0,2,0,0,42.5,17,18,7,30,-15,31.5,-16.5,10,1.556e-08,4.0422e-09,1,N
216.1996.4.2.-10.-5,1996,4,216,0,2,0,0,4.78,2,1,0,-10,-5,-13,-6,10,1.90975e-08,6.832e-09,2,S
216.1996.4.2.-25.10.1,1996,4,216,0,2,0,0,51,20,30,4,-25,10,-28.5,12.5,10,3.4283e-08,1.6338e-09,2,S
216.1996.4.2.-30.0,1996,4,216,0,2,0,0,99.84,39,73,16,-30,0,-32.5,2.5,10,2.8337e-08,7.3897e-09,2,S
216.1996.4.2.5.-45,1996,4,216,0,2,0,0,7.65,3,2,5,5,-45,8.5,-48.5,10,2.23e-08,2.2708e-08,2,N
216.1996.5.2.-40.10.14,1996,5,216,0,2,0,0,51,20,38,0,-40,10,-42.5,14.5,10,3.4913e-08,2.3278e-10,2,S
216.1996.5.2.-40.10.23,1996,5,216,0,2,0,0,51,20,31,0,-40,10,-40.5,12.5,10,2.8672e-08,1.2813e-09,2,S
216.1996.5.2.-5.-20.6,1996,5,216,0,2,0,0,51,20,30,18,-5,-20,-7,-22.5,10,2.4546e-08,2.321e-08,2,S
216.1996.5.2.10.-25,1996,5,216,0,2,0,0,133.64,52,54,22,10,-25,12.5,-27.5,10,1.7186e-08,7.7022e-09,2,N
216.1996.5.2.35.-10.7,1996,5,216,0,2,0,0,51,20,17,0,35,-10,39.5,-13,10,1.59505e-08,5.71895e-10,2,N
216.1996.5.2.35.-20.2,1996,5,216,0,2,0,0,51.2,20,16,3,35,-20,36.5,-21.5,10,1.8124e-08,1.4959e-09,2,N
216.1996.6.2.10.-30.0,1996,6,216,0,2,0,0,51,20,26,11,10,-30,10.5,-33.5,10,1.919e-08,1.0697e-08,2,N
216.1996.6.2.10.-30.18,1996,6,216,0,2,0,0,10.2,4,3,2,10,-30,14.5,-30.5,10,1.7146e-08,1.3157e-08,2,N
216.1996.7.2.25.-20,1996,7,216,0,2,0,0,67.6,26,30,23,25,-20,27.5,-21.5,10,1.82845e-08,1.6531e-08,3,N
216.1997.1.2.-5.-5.23,1997,1,216,0,2,0,0,51,20,19,9,-5,-5,-7.5,-6.5,10,2.0771e-08,5.776e-09,1,S
216.1997.1.2.-5.-5.36,1997,1,216,0,2,0,0,51,20,19,15,-5,-5,-5.5,-8.5,10,2.1516e-08,6.7087e-09,1,S
216.1997.1.2.-5.-5.6,1997,1,216,0,2,0,0,51,20,33,8,-5,-5,-9.5,-6.5,10,2.0705e-08,5.6527e-09,1,S
216.1997.1.2.-5.0.7,1997,1,216,0,2,0,0,51,20,20,2,-5,0,-9.5,-0.5,10,1.7457e-08,1.4982e-09,1,S
216.1997.1.2.5.-25.8,1997,1,216,0,2,0,0,51,20,19,9,5,-25,9.5,-27,10,1.8429e-08,8.18585e-09,1,N
216.1997.11.2.-15.5.20,1997,11,216,0,2,0,0,51,20,21,0,-15,5,-16.5,7.5,10,1.6947e-08,5.501e-10,4,S
216.1997.11.2.-15.5.22,1997,11,216,0,2,0,0,51,20,15,1,-15,5,-16.5,8.5,10,1.5925e-08,4.0245e-10,4,S
